Date,From,To,Content,Offenses,Location,Latitude,Longitude
9/1/18,16:00:00,16:01:00,Emoloyee reported being harassed,Harassment,Wagner Bldg,40.805634,-77.859307
9/1/18,10:00:00,20:00:00,Student reported a suspicious item,Suspicious Activity - Other,Reber Bldg,40.793368,-77.864351
9/1/18,14:00:00,19:00:00,Assisted the ambulance with a medical emergency,Health and Safety/RFA-Request for Assistance,Food Science Bldg,40.804138,-77.861936
9/1/18,19:25:00,20:01:00,Student reported theft by deception,Theft By Deception,Porter Hall,40.800789,-77.85641
8/30/18,7:42:00,7:42:00,Assisted the ambulance with a medical emergency,Health and Safety/RFA-Request for Assistance,Runkle Hall,40.802215,-77.866037
9/1/18,13:15:00,13:15:00,Visitor reported a bicycle and vehicle crash with no injuries,Vehicle Code - Accident,Mckean Rd,40.800367,-77.856198
9/1/18,12:53:00,12:53:00,Student reported a two vehicle crash with no injuries,Vehicle Code - Accident,Yellow F Meters Lot,40.802177,-77.861388
8/31/18,17:30:00,17:30:00,Assisted the ambulance with a medical emergency,Health and Safety/RFA-Request for Assistance,Intramural Bldg,40.807329,-77.859192
9/1/18,11:05:00,11:05:00,Assisted an outside law enforcement agency with an investigation,Assist State College Police,E College Ave & S Pugh St,40.795265,-77.860465
9/1/18,9:51:00,9:51:00,Resident Assistant reported the odor of marijuana,Possession of Small Amount of Marijuana,Stuart Hall,40.807014,-77.862549
9/1/18,1:01:00,1:01:00,"Resident Assistant reported the odor of marijuana, origin not located",Possession of Small Amount of Marijuana,Chace Hall,40.798725,-77.85715
9/22/18,23:15:00,0:00:00,Visitor reported suspicious activity,Suspicious Activity - Persons,Old Main,40.796458,-77.862733
9/2/18,20:30:00,20:35:00,Received this department's copy of a Protection From Abuse (PFA) order,RFA-Request for Assistance,Eisenhower Parking Deck,40.802261,-77.861044
9/2/18,19:25:00,19:30:00,Employee reported a two vehicle crash with no injuries,Vehicle Code - Accident/Accidents Involving Damage To Unattended Vh/Propty,Hub Parking Deck,40.799004,-77.860042
9/2/18,19:00:00,19:01:00,Student reported they were sexually assaulted by a known person,Sexual Assault,University Park Campus,40.810232,-77.862495
9/2/18,17:34:00,17:34:00,Assisted an outside law enforcement agency with an investigation,Assist State College Police,S Pugh St,40.794922,-77.859992
9/2/18,17:07:00,17:54:00,Student reported being physically assaulted by an unknown person,"Simple Assault/Pur,Cons,Poss, Trans Intox Bev",E College Ave & S Pugh St,40.79523,-77.860603
9/2/18,1:00:00,2:00:00,Employee reported finding abandoned unknown drug,Possession Of An Unknown Drug,Pattee Library Bldg,40.797626,-77.866232
9/2/18,14:41:00,14:41:00,Assisted the ambulance with a medical emergency,Health and Safety/RFA-Request for Assistance,Pinchot Hall,40.805778,-77.863198
9/1/18,0:30:00,1:00:00,Assisted the ambulance with a medical emergency,Health and Safety/RFA-Request for Assistance,Redifer Cmns,40.799376,-77.855902
9/2/18,13:15:00,13:29:00,Employee reported a suspicious item,Suspicious Activity - Other,Findlay Cmns,40.806448,-77.861963
9/2/18,11:32:00,11:32:00,Student consumed alcoholic beverages being less than 21 years of age,"Pur,Cons,Poss, Trans Intox Bev/Disorderly Conduct - Loud Voices/Criminal Trespass/Health and Safety/RFA-Request for Assistance",McElwain Hall,40.800028,-77.858893
9/1/18,8:00:00,11:17:00,Student reported the theft of their unsecured personal property,Theft By Unlawful Taking Or Dispo/Receiving Stolen Property,White Bldg,40.799143,-77.859844
9/2/18,2:03:00,3:30:00,Underage student observed highly intoxicated,"Pur,Cons,Poss, Trans Intox Bev/Public Drunkenness",Mckean Rd & Shortlidge Rd,40.798567,-77.857916
9/3/18,15:30:00,18:42:00,Incident issued in error,CAD Error-Incident Numbering Error,Services Rd & University Dr,40.811432,-77.865373
9/3/18,16:46:00,17:05:00,The Penn State Bomb Squad provided counter IED support for The PSU v. Kent State football game,Specialist Call Out Other,Beaver Stadium,40.812245,-77.855566
9/3/18,16:34:00,16:34:00,Student observed highly intoxicated an transported to the hospital,Public Drunkenness/Health and Safety/RFA-Request for Assistance,Medlar Fld,40.812289,-77.852026
9/3/18,6:00:00,19:30:00,Underage student observed highly intoxicated and transported to hospital,"Pur,Cons,Poss, Trans Intox Bev/Public Drunkenness/Health and Safety/RFA-Request for Assistance",E Park Ave & Stadium West Rd,40.81265,-77.859664
9/3/18,16:20:00,16:20:00,Visitor observed highly intoxicated and transported to the hospital,Public Drunkenness/Health and Safety/RFA-Request for Assistance,Curtin Rd & Porter Rd,40.812229,-77.853632
9/3/18,16:08:00,16:08:00,Visitor found in possession of beverage alcohol while less than 21 years of age,"Pur,Cons,Poss, Trans Intox Bev",Football 25 Lot,40.811952,-77.848124
9/3/18,15:53:00,15:53:00,Student was found in possession of a controlled substance with intent to deliver,"Terroristic Threats/Propulsion Msl Ocp Veh Or Rdwy/Tampering/Fab-Phys Evidence/Possession Of Other Drug/Md/Pwid Other Drug/Pur,Cons,Poss, Trans Intox Bev/Public Drunkenness/Disorderly Conduct - Fighting",Football 12 Lot,40.810235,-77.864824
9/3/18,15:28:00,16:00:00,Visitor reported they were indecently assaulted by an unknown person at a University building,Indecent Assault/Harassment,Beaver Stadium Bldg,40.811229,-77.856328
9/3/18,14:30:00,16:00:00,Student observed highly intoxicated,Public Drunkenness/Health and Safety/RFA-Request for Assistance,University Dr & E Park Ave,40.810191,-77.861828
9/3/18,15:12:00,15:12:00,Student reported being harassed,Harassment,Hastings Hall,40.807553,-77.862555
9/3/18,11:00:00,15:01:00,Assisted the ambulance with a medical emergency,Health and Safety/RFA-Request for Assistance,Football 24 Lot,40.811694,-77.849402
9/3/18,14:50:00,14:50:00,Visitor observed highly intoxicated and transported to the hospital,Public Drunkenness,Red 44 Lot,40.810531,-77.85342
